QM9_id,num_components,num_atoms,composition
6733,3,15,N1 H7 C5 O2
7376,3,18,C4 N2 H10 O2
10295,3,14,N2 H6 C4 O2
54387,3,18,N1 H9 C6 O2
55518,3,15,N2 C4 H6 O3
56241,3,17,N2 C4 H8 O3
56344,3,18,O3 C5 N1 H9
58613,3,19,C5 N2 H10 O2
86742,3,18,N1 H9 C6 O2
87037,3,15,N2 H6 C5 O2
99809,3,17,C5 N2 H8 O2
101941,3,19,N2 H10 C5 O2
116944,3,18,C6 N1 H9 O2
117523,3,17,C5 N2 H8 O2
130662,3,10,O3 C3 N3 H1
130670,3,9,O3 C2 N4
1117,2,13,N2 C3 H6 O2
3838,2,9,N4 C2 O1 H2
3895,2,9,C3 H2 O2 N2
3899,2,8,O2 C2 N3 H1
4807,2,15,N1 H7 C5 O2
4871,2,15,N1 H7 C5 O2
4872,2,14,N2 H6 C4 O2
5557,2,15,N1 H7 C5 O2
5599,2,14,N2 H6 C4 O2
6330,2,16,C4 N2 H8 O2
6346,2,16,C4 N2 H8 O2
7410,2,16,C4 N2 H8 O2
7417,2,14,N2 C3 H6 O3
7419,2,15,N3 C3 H7 O2
11388,2,15,N1 H7 C5 O2
13481,2,14,O2 C4 N2 H6
20642,2,12,C4 O2 N2 H4
20679,2,12,C4 O2 N2 H4
20683,2,12,C3 N4 O1 H4
20692,2,11,C3 N3 O2 H3
21119,2,13,C4 N3 O1 H5
21127,2,12,C3 N4 O1 H4
21555,2,12,N4 C3 O1 H4
21567,2,11,N3 C3 O2 H3
21611,2,11,N5 C2 O1 H3
21620,2,10,N4 C2 O2 H2
21717,2,14,N2 H6 C4 O2
21718,2,13,N3 H5 C3 O2
21725,2,13,N3 H5 C3 O2
21764,2,8,O2 N4 C2
21857,2,11,O2 C3 N3 H3
21859,2,10,O3 C3 N2 H2
21870,2,10,O2 C2 N4 H2
21875,2,9,O3 C2 N3 H1
22543,2,19,C6 N2 H10 O1
23793,2,10,F1 C3 N3 O1 H2
23799,2,9,F1 C3 O2 N2 H1
23819,2,9,F1 C3 O2 N2 H1
23822,2,9,F1 C2 N4 O1 H1
23828,2,8,F1 C2 N3 O2
25829,2,14,N3 C4 H5 O2
26122,2,18,C6 N1 H9 O2
26153,2,18,C6 N1 H9 O2
26154,2,17,C5 N2 H8 O2
26187,2,18,C6 N1 H9 O2
26229,2,18,C6 N1 H9 O2
26230,2,17,C5 N2 H8 O2
30706,2,18,C6 N1 H9 O2
30713,2,18,C6 O2 N1 H9
30762,2,17,N2 C5 O2 H8
30763,2,16,N1 H7 C5 O3
30787,2,18,C6 N1 H9 O2
30788,2,17,C5 N2 H8 O2
30798,2,18,C6 O2 N1 H9
30902,2,17,N2 C5 H8 O2
30903,2,17,N2 C5 O2 H8
30904,2,15,N2 H6 C4 O3
30994,2,16,N3 H7 C4 O2
30995,2,15,N2 H6 C4 O3
30996,2,14,N1 H5 C4 O4
31000,2,18,C6 N1 H9 O2
31013,2,17,C5 N2 H8 O2
31107,2,17,N2 C5 H8 O2
31109,2,17,N2 C5 H8 O2
31110,2,16,N3 C4 H7 O2
31111,2,16,N1 H7 C5 O3
31112,2,15,N2 H6 C4 O3
31171,2,17,N2 C5 O2 H8
31503,2,18,C6 O2 N1 H9
31599,2,16,N1 H7 C5 O3
32760,2,18,C6 N1 H9 O2
32814,2,17,C5 N2 H8 O2
32866,2,18,C6 N1 H9 O2
32942,2,18,C6 N1 H9 O2
32943,2,17,C5 N2 H8 O2
52008,2,15,N4 H6 C5
53896,2,15,N2 C5 H6 O2
53939,2,19,C5 N2 H10 O2
53941,2,18,C4 N3 H9 O2
53943,2,17,C4 N2 H8 O3
53944,2,17,C4 O3 N2 H8
53954,2,20,C6 N1 H11 O2
54078,2,15,O2 C5 N2 H6
54079,2,14,O2 C4 N3 H5
54244,2,16,N3 C4 H7 O2
54296,2,16,N3 C4 H7 O2
54449,2,15,O2 C5 N2 H6
54811,2,15,O2 C5 N2 H6
54874,2,15,O2 C5 N2 H6
54896,2,15,O2 C5 N2 H6
54904,2,15,O2 C5 N2 H6
55438,2,17,O2 C5 N2 H8
55484,2,15,N2 C5 H6 O2
55558,2,17,O2 C5 N2 H8
55610,2,16,O2 C4 N3 H7
55791,2,17,O2 C5 N2 H8
56016,2,17,O2 C5 N2 H8
56055,2,17,O2 C5 N2 H8
56072,2,16,O2 C4 N3 H7
57945,2,19,C5 N2 H10 O2
80208,2,14,N3 H5 C5 O1
85780,2,17,C5 N2 O2 H8
90287,2,16,N1 H7 C6 O2
91259,2,16,N1 H7 C6 O2
93324,2,16,N3 H7 C5 O1
94606,2,18,N1 H9 C5 O3
96637,2,19,C5 N2 H10 O2
96638,2,18,C4 N3 H9 O2
97116,2,17,C5 N2 H8 O2
97260,2,15,N2 C5 H6 O2
97529,2,15,N2 H6 C7
97530,2,14,N3 H5 C6
98233,2,19,C5 N2 H10 O2
98234,2,18,C4 N3 H9 O2
99717,2,19,C5 N2 H10 O2
99726,2,18,C4 N3 H9 O2
99731,2,17,C4 O3 N2 H8
99733,2,17,N2 C4 H8 O3
100626,2,17,N4 C5 H8
102131,2,17,N2 C4 H8 O3
102225,2,19,C5 N2 O2 H10
102797,2,17,O3 C4 N2 H8
105579,2,16,N3 H7 C5 O1
108891,2,16,N3 H7 C5 O1
110174,2,16,N3 H7 C5 O1
112230,2,16,N3 H7 C5 O1
112338,2,18,C6 O2 N1 H9
112355,2,17,N2 C5 O2 H8
116537,2,19,C5 N2 H10 O2
117295,2,19,C5 N2 H10 O2
119758,2,19,C6 N2 H10 O1
120431,2,18,C6 N1 H9 O2
120723,2,20,N1 H11 C6 O2
121013,2,19,C6 N2 H10 O1
121611,2,17,N2 H8 C4 O3
124722,2,18,C5 N3 H9 O1
124723,2,17,C5 N2 H8 O2
124724,2,16,C4 N3 H7 O2
124731,2,17,C4 N4 H8 O1
124732,2,16,C4 N3 H7 O2
124935,2,15,C5 O2 N2 H6
125055,2,14,C4 N3 O2 H5
125619,2,18,C5 N3 H9 O1
125759,2,17,C5 N2 O2 H8
126292,2,15,C5 O2 N2 H6
126347,2,15,C5 O2 N2 H6
126351,2,15,C4 N4 O1 H6
126360,2,14,C4 N3 O2 H5
126865,2,16,C5 N3 O1 H7
126873,2,15,C4 N4 O1 H6
127606,2,18,C5 N3 O1 H9
127839,2,15,C4 N4 O1 H6
127893,2,15,C4 N4 O1 H6
127894,2,14,C3 N5 O1 H5
127895,2,13,C3 N4 O2 H4
128183,2,15,C4 N4 O1 H6
128195,2,14,C4 N3 O2 H5
128252,2,14,C3 N5 O1 H5
128260,2,13,C3 N4 O2 H4
128407,2,16,C4 N3 H7 O2
128558,2,14,C4 O2 N3 H5
128568,2,13,C4 O3 N2 H4
128619,2,13,C3 O2 N4 H4
128627,2,12,C3 O3 N3 H3
129100,2,11,N4 C3 O2 H2
129136,2,12,N5 C3 O1 H3
129137,2,11,N4 C3 O2 H2
129145,2,11,N4 C4 O1 H2
129146,2,10,N5 C3 O1 H1
129147,2,11,N4 C3 O2 H2
129149,2,11,N4 C4 O1 H2
129150,2,12,N3 C4 O2 H3
129151,2,12,N3 C4 O2 H3
129157,2,11,N6 C2 O1 H2
129317,2,11,N4 C3 O2 H2
129654,2,13,N4 C3 O2 H4
130345,2,15,N4 H6 C4 O1
130386,2,15,N4 H6 C5
130387,2,15,N4 H6 C5
130404,2,16,N3 C4 O2 H7
130406,2,15,N2 H6 C4 O3
130407,2,16,N3 C4 O2 H7
130416,2,14,N5 C3 O1 H5
130424,2,13,N4 C3 O2 H4
130583,2,11,O2 C5 N2 H2
130584,2,10,O2 C4 N3 H1
130603,2,11,O3 C4 N2 H2
130620,2,10,O3 C3 N3 H1
130664,2,10,O2 C4 N3 H1
130665,2,9,O2 C3 N4
130666,2,11,O2 C5 N2 H2
130669,2,9,C3 O2 N4
130794,2,10,O3 C3 N3 H1
130861,2,11,O3 C4 N2 H2
130879,2,11,O3 C4 N2 H2
130883,2,10,O3 C3 N3 H1
130919,2,10,O3 C3 N3 H1
131092,2,13,O2 C3 N4 H4
131659,2,13,O3 C4 N2 H4
131694,2,13,O3 C4 N2 H4
131696,2,13,O2 C3 N4 H4
131705,2,12,O3 C3 N3 H3
133143,2,12,C4 F1 O2 N2 H3
133167,2,13,C4 F1 O1 N3 H4
133168,2,12,C4 F1 O2 N2 H3
133263,2,13,C4 N3 F1 O1 H4
133274,2,12,C3 N4 O1 F1 H3
133311,2,11,N3 C3 F1 O2 H2
133338,2,11,N3 C3 F1 O2 H2
